Date,Open,High,Low,Close,Vol
2012-01-01.csv,873,879,851,879,799
2012-01-02.csv,879,913,882,900,1002
2012-01-03.csv,900,916,892,892,2653
2012-01-04.csv,892,875,842,865,490
2012-01-05.csv,865,875,858,858,121
2012-01-08.csv,858,845,814,830,4835
2012-01-09.csv,830,846,830,846,195
2012-01-10.csv,858,862,845,845,658
2012-01-11.csv,845,874,845,874,969
2012-01-12.csv,874,904,860,904,773
2012-01-16.csv,904,886,867,879,235
2012-01-17.csv,879,865,820,861,2244
2012-01-19.csv,861,882,830,882,1617
2012-01-22.csv,882,870,836,836,1273
2012-01-23.csv,836,843,826,835,1255
2012-01-25.csv,835,840,825,840,442
2012-01-26.csv,840,830,826,830,408
2012-01-29.csv,830,830,823,830,496
2012-01-31.csv,830,845,842,842,143
2012-02-01.csv,842,840,832,832,250
2012-02-02.csv,832,850,833,850,382
2012-02-05.csv,850,840,824,829,1035
2012-02-06.csv,829,829,824,824,545
2012-02-07.csv,824,833,820,830,816
2012-02-08.csv,830,841,830,841,187
2012-02-09.csv,841,840,830,840,437
2012-02-12.csv,840,843,828,843,1780
2012-02-13.csv,843,876,832,876,885
2012-02-14.csv,876,870,860,860,447
2012-02-15.csv,860,860,843,843,182
2012-02-16.csv,843,850,833,850,1286
2012-02-21.csv,850,850,836,850,170
2012-02-23.csv,850,850,845,850,79
2012-02-26.csv,850,856,833,844,1025
2012-02-27.csv,844,847,831,847,1055
2012-02-28.csv,847,867,845,867,825
2012-02-29.csv,867,869,860,861,602
2012-03-01.csv,861,887,865,887,497
2012-03-04.csv,887,876,870,874,590
2012-03-05.csv,874,887,866,883,571
2012-03-06.csv,883,885,875,882,301
2012-03-11.csv,882,885,868,885,361
2012-03-12.csv,885,882,880,880,256
2012-03-13.csv,880,880,863,880,501
2012-03-14.csv,880,875,860,860,389
2012-03-15.csv,860,852,836,852,446
2012-03-18.csv,852,869,850,867,168
2012-03-19.csv,867,882,853,882,281
2012-03-20.csv,882,874,847,874,307
2012-03-21.csv,874,878,850,878,900
2012-03-25.csv,878,878,845,878,521
2012-03-26.csv,878,861,861,861,50
2012-03-27.csv,861,873,850,867,342
2012-03-28.csv,867,867,850,867,317
2012-03-29.csv,867,867,850,867,64
2012-04-01.csv,867,852,835,852,981
2012-04-02.csv,852,880,852,880,270
2012-04-03.csv,880,891,867,875,145
2012-04-04.csv,875,902,878,902,106
2012-04-08.csv,902,895,879,895,318
2012-04-09.csv,895,901,884,901,906
2012-04-10.csv,901,892,890,890,249
2012-04-11.csv,890,925,885,910,1173
2012-04-12.csv,910,988,920,988,1316
2012-04-15.csv,988,1075,1007,1075,1840
2012-04-17.csv,1075,1182,994,1000,2664
2012-04-18.csv,1000,1081,951,1081,1741
2012-04-19.csv,1081,1144,1078,1130,3104
2012-04-22.csv,1130,1200,1130,1200,3423
2012-04-24.csv,1200,1320,1224,1320,880
2012-04-25.csv,1320,1452,1346,1450,3631
2012-04-26.csv,1450,1550,1400,1550,6246
2012-04-29.csv,1550,1538,1461,1500,4632
2012-04-30.csv,1500,1470,1380,1400,2746
2012-05-02.csv,1400,1372,1260,1260,956
2012-05-03.csv,1260,1386,1285,1386,522
2012-05-07.csv,1386,1524,1413,1524,1302
2012-05-08.csv,1524,1585,1470,1524,4092
2012-05-09.csv,1524,1554,1415,1459,6781
2012-05-10.csv,1459,1453,1387,1420,3591
2012-05-13.csv,1420,1392,1290,1302,1788
2012-05-14.csv,1302,1276,1200,1219,2577
2012-05-15.csv,1219,1340,1219,1340,2424
2012-05-16.csv,1340,1474,1340,1474,1090
2012-05-17.csv,1474,1563,1421,1450,6367
2012-05-20.csv,1450,1458,1390,1450,1648
2012-05-21.csv,1450,1460,1400,1445,3948
2012-05-22.csv,1445,1438,1380,1438,1664
2012-05-23.csv,1438,1410,1325,1325,617
2012-05-24.csv,1325,1400,1300,1369,3006
